Title,Genre,Actors,Director,Writer,Language,Box_office,Country,Released,Runtime,imdbRating,Awards,Poster
Wrong Turn,Horror,"68348     Emmanuelle Chriqui
69706     Desmond Harrington
74653           Jeremy Sisto
83726            Lindy Booth
96782           Eliza Dushku
138946       Julian Richings
161191          Kevin Zegers
Name: Actor, dtype: object",['Rob Schmidt'],Alan B. McElroy,English,"656,153","USA, Germany",30 May 2003,84 min,6.1,3 nominations.,tt0295700.jpg
How to Deal,"Comedy, Drama, Romance","41369              Nina Foch
42083        Peter Gallagher
69984       Alexandra Holden
70519         Allison Janney
79460        Mackenzie Astin
80252            Dylan Baker
128204           Mandy Moore
149423    Charlotte Sullivan
168426           Ennis Esmer
Name: Actor, dtype: object",['Clare Kilner'],"Sarah Dessen (novels), Neena Beber (screenplay)",English,"61,305",USA,18 Jul 2003,101 min,5.7,,tt0319524.jpg
House of Sand and Fog,Drama,"['Jennifer Connelly', 'Ben Kingsley', 'Ron Eldard', 'Frances Fisher']",['Vadim Perelman'],"Andre Dubus III (novel), Vadim Perelman (screenplay), Shawn Lawrence Otto (screenplay)","English, Persian","13,005,485",USA,09 Jan 2004,126 min,7.6,Nominated for 3 Oscars. Another 12 wins & 34 nominations.,tt0315983.jpg
Gods and Generals,"Drama, History, War","9821                 Mira Sorvino
12931            Bruce Boxleitner
15912               Robert Duvall
35236              Billy Campbell
38143                Jeff Daniels
45338            C. Thomas Howell
65796                Stephen Lang
89637                Chris Conner
90308                Scott Cooper
98249              Frankie Faison
103627             Patrick Gorman
118912              Matt Letscher
120536              Jeremy London
136701               Andrew Prine
140121                 Kali Rocha
142800          William Sanderson
145293    William Morgan Sheppard
149199       James Patrick Stuart
150402                Buck Taylor
Name: Actor, dtype: object",['Ron Maxwell'],"Jeff Shaara (book), Ron Maxwell (screenplay)",English,"12,870,569",USA,21 Feb 2003,219 min,6.3,1 win & 2 nominations.,tt0279111.jpg
House of 1000 Corpses,Horror,"33214            Karen Black
103185        Walton Goggins
105944              Sid Haig
125224       Matthew McGrory
128108     Sheri Moon Zombie
129260          Bill Moseley
136236    Michael J. Pollard
158761          Rainn Wilson
161330            Rob Zombie
Name: Actor, dtype: object",['Rob Zombie'],Rob Zombie,English,"268,127",USA,11 Apr 2003,89 min,6.0,3 wins & 5 nominations.,tt0251736.jpg
Confidence,"Crime, Thriller","6913          Dustin Hoffman
16993            Andy Garcia
41655         Robert Forster
48835         Tom Lister Jr.
61382           Rachel Weisz
65628     John Carroll Lynch
68280        Morris Chestnut
76374            Donal Logue
85821           Edward Burns
102522         Paul Giamatti
105652           Luis Guzman
120416        Louis Lombardi
132849          Leland Orser
135750           Robert Pine
153253        Brian Van Holt
Name: Actor, dtype: object",['James Foley'],Doug Jung,English,"104,242","USA, Canada, Germany",25 Apr 2003,97 min,6.7,,tt0310910.jpg
Girl with a Pearl Earring,"Biography, Drama, Romance","['Colin Firth', 'Scarlett Johansson', 'Tom Wilkinson', 'Judy Parfitt']",['Peter Webber'],"Tracy Chevalier (novel), Olivia Hetreed (screenplay)",English,"11,634,362","UK, Luxembourg",30 Jan 2004,100 min,7.0,Nominated for 3 Oscars. Another 17 wins & 41 nominations.,tt0335119.jpg
Swimming Pool,"Crime, Drama, Thriller","38075          Charles Dance
54498     Charlotte Rampling
142504      Ludivine Sagnier
Name: Actor, dtype: object",['François Ozon'],"François Ozon (screenplay), Emmanuèle Bernheim, Sionann O'Neill (translation: English)","English, French","50,726","France, UK",01 Aug 2003,102 min,6.8,2 wins & 18 nominations.,tt0324133.jpg
Duplex,Comedy,"4317         Drew Barrymore
14980          Danny DeVito
41041      Harvey Fierstein
42784     Jenette Goldstein
47628         Swoosie Kurtz
55262           James Remar
57437         Wallace Shawn
59133           Ben Stiller
75578        Amber Valletta
116382     Michelle Krusiec
136341         Linda Porter
141398         Maya Rudolph
150954       Justin Theroux
151621       Jackie Sandler
154987        Tracey Walter
159297        Robert Wisdom
Name: Actor, dtype: object",['Danny DeVito'],Larry Doyle,English,"493,046","USA, Germany",26 Sep 2003,89 min,5.8,1 nomination.,tt0266489.jpg
Le divorce,"Drama, Romance, Comedy","['Kate Hudson', 'Jean-Marie Lhomme', 'Naomi Watts', 'Esmée Buchet-Deàk']",['James Ivory'],"Diane Johnson (novel), Ruth Prawer Jhabvala (screenplay), James Ivory (screenplay)","English, French","66,323",USA,29 Aug 2003,117 min,4.9,2 wins.,tt0306734.jpg
Tupac: Resurrection,"Documentary, Biography, Music","['Tupac Shakur', ""Rappin' 4-Tay"", 'Conrad Bain', 'Bill Bellamy']",['Lauren Lazin'],,English,"7,707,563",USA,14 Nov 2003,112 min,8.0,Nominated for 1 Oscar. Another 1 win & 5 nominations.,tt0343121.jpg
The Order,"Action, Mystery, Thriller","28343         Peter Weller
67201            Mark Addy
71315         Heath Ledger
147271    Shannyn Sossamon
152079     Steve Toussaint
Name: Actor, dtype: object",['Brian Helgeland'],Brian Helgeland,"English, Syriac, Aramaic, Italian, Latin","7,659,747","USA, Germany",05 Sep 2003,102 min,5.1,,tt0304711.jpg
It Runs in the Family,"Comedy, Drama, Romance","726            Kirk Douglas
5713        Michael Douglas
53066     Bernadette Peters
63480      Sarita Choudhury
78940        Geoffrey Arend
91939           Rory Culkin
124837       Audra McDonald
133054        Kelly Overton
133362            Josh Pais
164916    Michelle Monaghan
Name: Actor, dtype: object",['Fred Schepisi'],Jesse Wigutow,"English, Hebrew, Spanish","7,375,836",USA,25 Apr 2003,109 min,5.6,,tt0311110.jpg
The Triplets of Belleville,"Animation, Comedy, Drama","['Béatrice Bonifassi', 'Lina Boudreau', 'Michèle Caucheteux', 'Jean-Claude Donda']",['Sylvain Chomet'],Sylvain Chomet,"French, Portuguese","7,002,255","France, Belgium, Canada, UK, Latvia",13 Feb 2004,78 min,7.8,Nominated for 2 Oscars. Another 19 wins & 29 nominations.,tt0286244.jpg
Willard,"Drama, Horror, Sci-Fi","16169       R. Lee Ermey
17201     Crispin Glover
69933      Laura Harring
132745         Ty Olsson
Name: Actor, dtype: object",['Glen Morgan'],"Glen Morgan (screenplay), Gilbert Ralston, Stephen Gilbert (book)",English,"107,689","Canada, USA",14 Mar 2003,100 min,6.1,1 win & 4 nominations.,tt0310357.jpg
Chasing Papi,"Comedy, Romance","29445     Maria Conchita Alonso
75686             Sofia Vergara
75691                Lisa Vidal
87072          Freddy Rodriguez
94331              Tony Denison
103312                Ian Gomez
137837              Gina Ravera
142720          Roselyn Sanchez
153959          Christina Vidal
161531       Nicole Scherzinger
166471         Nadine Velazquez
Name: Actor, dtype: object",['Linda Mendoza'],"Laura Angelica Simon (story), Steve Antin (story), Laura Angelica Simon (screenplay), Steve Antin (screenplay), Alison Balian (screenplay), Elizabeth Sarnoff (screenplay)","English, Spanish","6,126,237",USA,16 Apr 2003,80 min,4.8,1 nomination.,tt0323572.jpg
Gigli,"Comedy, Crime, Romance","7870          Jennifer Lopez
8540               Al Pacino
10958            Ben Affleck
28129     Christopher Walken
80858          Justin Bartha
91621           Missy Crider
102675       Todd Giebenhain
114160          Lainie Kazan
Name: Actor, dtype: object",['Martin Brest'],Martin Brest,English,"50,385",USA,01 Aug 2003,121 min,2.4,7 wins & 8 nominations.,tt0299930.jpg
Luther,"Biography, Drama, History","22672     Alfred Molina
41027    Joseph Fiennes
60437     Peter Ustinov
67021        Bruno Ganz
99519    Jonathan Firth
Name: Actor, dtype: object",['Eric Till'],"Camille Thomasson, Bart Gavigan","English, Latin","8,330,360","Germany, USA",26 Sep 2003,123 min,6.6,4 wins & 1 nomination.,tt0309820.jpg
The Human Stain,"Drama, Romance, Thriller","6977       Anthony Hopkins
7526         Nicole Kidman
18128            Ed Harris
26409          Gary Sinise
30447          Mili Avital
80772      Jacinda Barrett
88751          Clark Gregg
96335           Anne Dudek
118488        Harry Lennix
123605    Margo Martindale
127319    Wentworth Miller
134989          Jeff Perry
155564    Kerry Washington
Name: Actor, dtype: object",['Robert Benton'],"Philip Roth (novel), Nicholas Meyer (screenplay)",English,"705,018","USA, Germany, France",31 Oct 2003,106 min,6.3,3 wins & 5 nominations.,tt0308383.jpg
Grind,"Adventure, Comedy, Sport","42804        Bobcat Goldthwait
50240     Christopher McDonald
54183              Randy Quaid
69221               Dave Foley
84902               Adam Brody
102633             Donald Gibb
104320               Tom Green
109327             Kane Hodder
112313            Sasha Jenson
120497            Jason London
128879       Jennifer Morrison
136374            Brian Posehn
140715            Stephen Root
146462    Brandon Mychal Smith
162743              Mike Vogel
Name: Actor, dtype: object",['Casey La Scala'],Ralph Sall,English,"5,111,630",USA,15 Aug 2003,105 min,6.0,,tt0338077.jpg
From Justin to Kelly,"Comedy, Musical, Romance","140761    Anika Noni Rose
164705      Brian Dietzen
Name: Actor, dtype: object",['Robert Iscove'],Kim Fuller,English,"4,922,166",USA,20 Jun 2003,81 min,2.1,2 wins & 11 nominations.,tt0339034.jpg
In the Cut,"Mystery, Thriller","4114               Kevin Bacon
9142                  Meg Ryan
20576     Jennifer Jason Leigh
89341          Sunrise Coigney
141454            Mark Ruffalo
Name: Actor, dtype: object",['Jane Campion'],"Jane Campion (screenplay), Susanna Moore (screenplay), Susanna Moore (novel), Stavros Kazantzidis (additional writer)",English,"239,152","Australia, USA, UK",31 Oct 2003,119 min,5.3,1 win & 2 nominations.,tt0199626.jpg
Beyond Borders,"Adventure, Drama, Romance","40652      Noah Emmerich
46378     Angelina Jolie
53800          Teri Polo
79305      Kate Ashfield
133115        Clive Owen
139656      Linus Roache
Name: Actor, dtype: object",['Martin Campbell'],Caspian Tredwell-Owen,"English, Amharic, Khmer, German, Chechen","66,237","USA, Germany",24 Oct 2003,127 min,6.5,2 nominations.,tt0294357.jpg
The Fog of War: Eleven Lessons from the Life of Robert S. McNamara,"Documentary, Biography, History",['Robert McNamara'],['Errol Morris'],,English,"4,193,943",USA,05 Mar 2004,95 min,8.2,Won 1 Oscar. Another 11 wins & 14 nominations.,tt0317910.jpg
The Visual Bible: The Gospel of John,"Biography, Drama, History","53544     Christopher Plummer
85325               Greg Bryk
92468        Henry Ian Cusick
140969             Carlo Rota
153328        Alan Van Sprang
Name: Actor, dtype: object",['Philip Saville'],John Goldsmith (screenplay),English,"4,068,087","Canada, UK",14 Nov 2003,125 min,7.7,1 win & 3 nominations.,tt0377992.jpg
The Real Cancun,Documentary,"['Benjamin Fletcher', 'Nicole Frilot', 'Roxanne Frilot', 'David Ingber']",['Rick de Oliveira'],Brian Caldirola,English,"308,603",USA,25 Apr 2003,96 min,2.7,3 nominations.,tt0360916.jpg
Step Into Liquid,"Documentary, Sport","['Robert August', 'Rochelle Ballard', 'Shawn Barron', 'Layne Beachley']",['Dana Brown'],Dana Brown,English,"3,672,451",USA,29 Aug 2003,88 min,7.5,1 nomination.,tt0308508.jpg
The Barbarian Invasions,"Comedy, Crime, Drama","['Rémy Girard', 'Stéphane Rousseau', 'Marie-Josée Croze', 'Marina Hands']",['Denys Arcand'],Denys Arcand,"French, English","9,499","Canada, France",05 Mar 2004,99 min,7.7,Won 1 Oscar. Another 47 wins & 31 nominations.,tt0338135.jpg
Mambo Italiano,"Comedy, Drama","26621     Paul Sorvino
115523      Luke Kirby
Name: Actor, dtype: object",['Émile Gaudreault'],"Steve Galluccio (play), Steve Galluccio (screenplay), Émile Gaudreault (screenplay)","English, Italian, French","305,428",Canada,19 Sep 2003,99 min,6.8,14 nominations.,tt0330602.jpg
Monsieur Ibrahim,"Comedy, Drama","['Omar Sharif', 'Pierre Boulanger', 'Gilbert Melki', 'Isabelle Renauld']",['François Dupeyron'],"François Dupeyron, Eric-Emmanuel Schmitt (novel), Eric-Emmanuel Schmitt (screenplay)","French, Turkish","2,823,837",France,09 Apr 2004,95 min,7.5,Nominated for 1 Golden Globe. Another 5 wins & 5 nominations.,tt0329388.jpg
My Architect,"Documentary, Biography","['Edmund Bacon', 'Edwina Pattison Daniels', 'Balkrishna Doshi', 'Frank Gehry']",['Nathaniel Kahn'],Nathaniel Kahn,English,"2,748,981",USA,12 Nov 2003,116 min,7.4,Nominated for 1 Oscar. Another 7 wins & 3 nominations.,tt0373175.jpg
Pieces of April,"Comedy, Drama","53422           Oliver Platt
69839             Sean Hayes
70020           Katie Holmes
88931      Patricia Clarkson
101361    John Gallagher Jr.
135727           Alison Pill
157393    Isiah Whitlock Jr.
162717            Derek Luke
Name: Actor, dtype: object",['Peter Hedges'],Peter Hedges,"English, Mandarin","2,360,184",USA,28 Nov 2003,80 min,7.1,Nominated for 1 Oscar. Another 15 wins & 21 nominations.,tt0311648.jpg
The Company,"Drama, Music, Romance","['Neve Campbell', 'Malcolm McDowell', 'James Franco', 'Barbara E. Robertson']",['Robert Altman'],"Neve Campbell (story), Barbara Turner (story), Barbara Turner (screenplay)",English,"12,525","Germany, USA",20 May 2004,112 min,6.4,2 nominations.,tt0335013.jpg
DysFunktional Family,"Comedy, Documentary","['Eddie Griffin', 'Joe Howard', 'Matthew Brent', 'Robert Noble']",['George Gallo'],Eddie Griffin (head writer),English,"2,223,990",USA,04 Apr 2003,89 min,6.6,,tt0337996.jpg
"The Book of Mormon Movie, Volume 1: The Journey",Adventure,"['Noah Danby', 'Jacque Gray', 'Bryce Chamberlain', 'Jan Broberg']",['Gary Rogers'],"Craig Clyde (screenplay), Gary Rogers",English,"1,098,224",USA,12 Jan 2004,120 min,3.3,,tt0349159.jpg
Marci X,"Comedy, Music","32640       Richard Benjamin
47608            Lisa Kudrow
61281           Damon Wayans
67393     Christine Baranski
71065         Jane Krakowski
97735             Lisa Emery
101623          Paula Garces
167433      Matthew Morrison
Name: Actor, dtype: object",['Richard Benjamin'],Paul Rudnick,English,"1,646,664",USA,22 Aug 2003,84 min,2.7,,tt0266747.jpg
Camp,"Comedy, Musical, Drama","114521    Anna Kendrick
Name: Actor, dtype: object",['Todd Graff'],Todd Graff,"English, Spanish","1,628,154",USA,29 Aug 2003,114 min,6.4,6 nominations.,tt0342167.jpg
Veronica Guerin,"Biography, Crime, Drama","33342     Cate Blanchett
44973       Ciaran Hinds
64681     Brenda Fricker
94402        Ned Dennehy
98679      Colin Farrell
102824    Fiona Glascott
Name: Actor, dtype: object",['Joel Schumacher'],"Carol Doyle (story), Carol Doyle (screenplay), Mary Agnes Donoghue (screenplay)",English,"1,569,918","Ireland, UK, USA",17 Oct 2003,98 min,6.9,Nominated for 1 Golden Globe. Another 3 wins & 13 nominations.,tt0312549.jpg
Northfork,"Drama, Fantasy","10802         James Woods
15990     Anthony Edwards
17976        Daryl Hannah
23255          Nick Nolte
37312        Peter Coyote
41595      Claire Forlani
49391     Kyle MacLachlan
69271          Ben Foster
88752         Clark Gregg
104789          Jon Gries
108570      Michele Hicks
142360        Robin Sachs
Name: Actor, dtype: object",['Michael Polish'],"Mark Polish, Michael Polish",English,"1,420,578",USA,01 Aug 2003,103 min,6.4,3 wins & 3 nominations.,tt0322659.jpg
Sylvia,"Biography, Drama, Romance","23525     Gwyneth Paltrow
38198       Blythe Danner
64805      Michael Gambon
91297        Daniel Craig
107059       Jared Harris
122201      Robyn Malcolm
152319      Sam Troughton
Name: Actor, dtype: object",['Christine Jeffs'],John Brownlow (screenplay),English,"12,583",UK,31 Oct 2003,100 min,6.3,1 win.,tt0325055.jpg
Elephant,"Crime, Drama, Thriller","33785     Timothy Bottoms
169711      John Robinson
Name: Actor, dtype: object",['Gus Van Sant'],Gus Van Sant,"English, German","1,227,000",USA,14 Nov 2003,81 min,7.2,8 wins & 11 nominations.,tt0363589.jpg
Main Prem Ki Diwani Hoon,"Musical, Drama, Romance","66815    Hrithik Roshan
67132    Kareena Kapoor
Name: Actor, dtype: object",['Sooraj R. Barjatya'],Sooraj R. Barjatya,"Hindi, English","1,225,908",India,27 Jun 2003,197 min,4.0,3 nominations.,tt0265148.jpg
I Capture the Castle,"Drama, Romance","41107     Tara Fitzgerald
59759        Henry Thomas
80431        David Bamber
83134         Marc Blucas
86258          Rose Byrne
87708        Henry Cavill
92438       Sinead Cusack
98776      James Faulkner
101564       Romola Garai
131014         Bill Nighy
156535        Dolly Wells
Name: Actor, dtype: object",['Tim Fywell'],"Dodie Smith (novel), Heidi Thomas (screenplay)",English,"1,174,139",UK,08 Aug 2003,113 min,7.1,2 wins & 4 nominations.,tt0300015.jpg
The R.M.,"Comedy, Crime, Family","108393    Jared Hess
Name: Actor, dtype: object",['Kurt Hale'],"Kurt Hale, John E. Moyer",English,"1,111,615",USA,31 Jan 2003,101 min,5.9,,tt0341540.jpg
Owning Mahowny,"Crime, Drama, Thriller","15828              Minnie Driver
18669     Philip Seymour Hoffman
19023                  John Hurt
63376              Maury Chaykin
132513                 Sandra Oh
139954            Karen Robinson
152170                Ian Tracey
Name: Actor, dtype: object",['Richard Kwietniowski'],"Gary Stephen Ross (book), Maurice Chauvet (screenplay)",English,"1,011,054","Canada, UK",25 Sep 2003,104 min,7.2,3 wins & 5 nominations.,tt0285861.jpg
The Statement,"Thriller, Drama","['Michael Caine', 'Tilda Swinton', 'Jeremy Northam', 'Alan Bates']",['Norman Jewison'],"Ronald Harwood (screenplay), Brian Moore (novel)","English, German, Italian, Latin, French","763,044","Canada, France, UK",27 Feb 2004,120 min,6.2,4 wins.,tt0340376.jpg
Alexandra's Project,"Drama, Mystery, Thriller","['Gary Sweet', 'Helen Buday', 'Bogdan Koca', 'Samantha Knigge']",['Rolf de Heer'],Rolf de Heer,English,"210,316",Australia,08 May 2003,103 min,6.6,3 wins & 18 nominations.,tt0338706.jpg
Party Monster,"Biography, Crime, Drama","14295       Macaulay Culkin
19979          Mia Kirshner
43370            Seth Green
49647        Marilyn Manson
50167       Dylan McDermott
57175         Chloe Sevigny
58581           John Stamos
71677        Natasha Lyonne
75563     Wilmer Valderrama
91846           Wilson Cruz
143412        Diana Scarwid
Name: Actor, dtype: object","['Fenton Bailey', 'Randy Barbato']","Fenton Bailey, Randy Barbato, James St. James (book)",English,"296,665","USA, Netherlands",17 Oct 2003,98 min,6.3,3 nominations.,tt0320244.jpg
The Shape of Things,"Comedy, Drama, Romance","50976         Gretchen Mol
61383         Rachel Weisz
141348           Paul Rudd
156468    Frederick Weller
Name: Actor, dtype: object",['Neil LaBute'],"Neil LaBute (play), Neil LaBute (screenplay)",English,"732,241","USA, France, UK",16 May 2003,96 min,6.8,1 nomination.,tt0308878.jpg
Japanese Story,"Drama, Romance","36789    Toni Collette
Name: Actor, dtype: object",['Sue Brooks'],Alison Tilson,"English, Japanese","5,860",Australia,25 Sep 2003,110 min,6.7,20 wins & 12 nominations.,tt0304229.jpg
All the Real Girls,"Drama, Romance","88932         Patricia Clarkson
89538            Maurice Compte
94542           Zooey Deschanel
95261     Thunderbird Dinwiddie
124650           Heather McComb
143841           Paul Schneider
157080             Shea Whigham
164702            Danny McBride
Name: Actor, dtype: object",['David Gordon Green'],"David Gordon Green (story), Paul Schneider (story), David Gordon Green",English,"548,712",USA,01 Aug 2003,108 min,6.9,4 wins & 10 nominations.,tt0299458.jpg
Masked and Anonymous,"Comedy, Drama, Music","7602            Val Kilmer
9725      Christian Slater
12168       Angela Bassett
12988         Jeff Bridges
17541         John Goodman
18129            Ed Harris
25193      Giovanni Ribisi
25770        Mickey Rourke
31798         Steven Bauer
39183           Bruce Dern
47958        Jessica Lange
49760         Cheech Marin
52849           Chris Penn
68461        Penelope Cruz
75991          Luke Wilson
105331       Noel Gugliemi
118163          Reggie Lee
154988       Tracey Walter
155261           Fred Ward
159298       Robert Wisdom
Name: Actor, dtype: object",['Larry Charles'],"Bob Dylan, Larry Charles",English,"533,344","USA, UK",08 Aug 2003,112 min,5.5,,tt0319829.jpg
Taxi 3,"Action, Comedy","9928     Sylvester Stallone
20858              Bai Ling
90975      Marion Cotillard
Name: Actor, dtype: object",['Gérard Krawczyk'],Luc Besson (scenario),French,"1,777,719",France,29 Jan 2003,84 min,5.7,,tt0295721.jpg
Casa de los babys,Drama,"['Angelina Peláez', 'Lizzie Curry Martinez', 'Vanessa Martinez', 'Amanda Álvarez']",['John Sayles'],John Sayles,"English, Spanish","475,940","USA, Mexico",01 Jan 2004,95 min,6.5,1 nomination.,tt0303830.jpg
My Life Without Me,"Drama, Romance","22671         Alfred Molina
44240          Debbie Harry
53470        Amanda Plummer
53760          Sarah Polley
74916        Scott Speedman
93866     Maria de Medeiros
138948      Julian Richings
141453         Mark Ruffalo
155686       Leonor Watling
163103        Jessica Amlee
163235        Sonja Bennett
Name: Actor, dtype: object",['Isabel Coixet'],"Isabel Coixet, Nanci Kincaid (book)",English,"395,592","Spain, Canada",07 Mar 2003,106 min,7.6,16 wins & 15 nominations.,tt0314412.jpg
The Singing Detective,"Comedy, Crime, Musical","6438            Mel Gibson
15683    Robert Downey Jr.
23310       Jeremy Northam
28710         Robin Wright
32817      Sandahl Bergman
43635         Carla Gugino
68026         Adrien Brody
70021         Katie Holmes
76105        Alfre Woodard
76987         Saul Rubinek
78868           Amy Aquino
94367         David Denman
Name: Actor, dtype: object",['Keith Gordon'],"Dennis Potter (screenplay), Dennis Potter (television series)",English,"336,456",USA,14 Nov 2003,109 min,5.6,1 win & 3 nominations.,tt0314676.jpg
Khushi,"Action, Drama, Romance","30549    Amitabh Bachchan
67135      Kareena Kapoor
Name: Actor, dtype: object","['Surya S.J.', 'Sunil Kumar Agrawal']","Aman Jaffery (dialogue), Bolu Khan (dialogue), Surya S.J. (story)",Hindi,"305,205",India,07 Feb 2003,,4.5,,tt0348656.jpg
Bonhoeffer,"Documentary, Biography, History","['Martin Doblmeier', 'Klaus Maria Brandauer', 'Adele Schmidt', 'Richard Mancini']",['Martin Doblmeier'],Martin Doblmeier,"English, German","163,720",USA,20 Jun 2003,93 min,7.2,,tt0371583.jpg
The Hero: Love Story of a Spy,"Action, Adventure, Drama","166571    Priyanka Chopra
Name: Actor, dtype: object",['Anil Sharma'],Shaktimaan Talwar,Hindi,"269,194",India,10 Apr 2003,160 min,5.2,6 nominations.,tt0347167.jpg
The Battle of Shaker Heights,"Drama, Romance, Comedy","24603           Kathleen Quinlan
74747                  Amy Smart
76457             William Sadler
78842              Shiri Appleby
116772              Shia LaBeouf
129384               Anson Mount
131452              France Nuyen
137783              Elden Henson
157009    Dana Wheeler-Nicholson
159387                  Ray Wise
Name: Actor, dtype: object","['Efram Potelle', 'Kyle Rankin']",Erica Beeney,"English, German","279,282",USA,22 Aug 2003,79 min,6.1,,tt0357470.jpg
"Lucía, Lucía","Adventure, Comedy, Crime","['Cecilia Roth', 'Carlos Álvarez-Nóvoa', 'Kuno Becker', 'Margarita Isabel']",['Antonio Serrano'],"Rosa Montero (novel), Antonio Serrano (screenplay), Marcela Fuentes-Berain (screenplay)",Spanish,"267,495","Mexico, Spain",25 Jul 2003,110 min,6.2,4 nominations.,tt0314170.jpg
Levity,"Crime, Drama","6271          Morgan Freeman
15866          Kirsten Dunst
18957           Holly Hunter
27652     Billy Bob Thornton
111052           Tyler Hynes
157599       Geoffrey Wigdor
Name: Actor, dtype: object",['Ed Solomon'],Ed Solomon,English,"209,151","USA, France",29 Aug 2003,100 min,6.5,1 win.,tt0304328.jpg
Lost Boys of Sudan,Documentary,"['Santino Majok Chuor', 'Jarrid Geduld', 'Peter Kon Dut']","['Megan Mylan', 'Jon Shenk']",,"English, Arabic, Dinka, Swahili","120,651",USA,24 Apr 2003,87 min,7.6,3 wins & 3 nominations.,tt0383475.jpg
The Flower of Evil,Drama,"31926    Nathalie Baye
Name: Actor, dtype: object",['Claude Chabrol'],"Caroline Eliacheff (original scenario), Louise L. Lambrichs (original scenario), Claude Chabrol (adaptation)",French,"181,798",France,19 Feb 2003,104 min,6.6,2 nominations.,tt0322289.jpg
Billabong Odyssey,"Documentary, Action, Adventure","['Shawn Barron', 'Fred Basse', 'Layne Beachley', 'Ken Bradshaw']",['Philip Boston'],,English,"54,000",USA,25 Mar 2004,88 min,6.9,,tt0379713.jpg
Girls Will Be Girls,"Comedy, Romance","['Jack Plotnick', 'Clinton Leupp', 'Jeffery Roberson', 'Ron Mathews']",['Richard Day'],Richard Day,English,"147,235",USA,05 Jul 2006,79 min,6.9,5 wins.,tt0339071.jpg
Concert for George,"Documentary, Music","['Joe Brown', 'Eric Clapton', 'Jools Holland', 'Sam Brown']",['David Leland'],,English,"70,000","UK, USA",03 Mar 2004,146 min,8.7,1 win.,tt0380275.jpg
Green Card Fever,"Comedy, Drama, Romance","['Vikram Dasu', 'Purva Bedi', 'Deep Katdare', 'Chayton Arvin']",['Bala Rajasekharuni'],Bala Rajasekharuni,English,"112,746",USA,29 Aug 2003,100 min,5.8,,tt0292527.jpg
Emerald Cowboy,"Documentary, Drama","['Eishy Hayata', 'Lucho Velasco', 'Juan Pablo Shuk', 'John K. Anderson']",['Andrew Molina'],Eishy Hayata,"English, Spanish, Japanese","100,976",Colombia,17 Nov 2004,90 min,7.1,,tt0289176.jpg
Dum,"Action, Crime, Drama","['Vivek Oberoi', 'Dia Mirza', 'Atul Kulkarni', 'Mukesh Rishi']",['Eeshwar Nivas'],"Mehran (dialogue), Mehran (screenplay), Eeshwar Nivas (screenplay), Bunty Soorma (story)",Hindi,"101,000",India,24 Jan 2003,,5.5,6 nominations.,tt0314006.jpg
Where's the Party Yaar?,Comedy,"['Diwakar Pathak', 'Sunil Malhotra', 'Indravadan Tridevi', 'Arun Bakshi']",['Benny Mathews'],"Benny Mathews, Soham Mehta, Sunil Thakkar","Hindi, English","48,832",USA,28 May 2004,110 min,5.1,,tt0306228.jpg
The Hebrew Hammer,Comedy,"['Adam Goldberg', 'Judy Greer', 'Andy Dick', 'Mario Van Peebles']",['Jonathan Kesselman'],Jonathan Kesselman,"English, Hebrew, Yiddish","19,539",USA,25 Mar 2004,85 min,6.2,,tt0317640.jpg
"Mary, Mother of the Son of God",Drama,"['Giovanna Antonelli', 'Luigi Baricelli', 'Ana Beatriz Cisneiros', 'Padre Marcelo Rossi']",['Moacyr Góes'],"Thiego Balteiro, Marta Borges, Moacyr Góes, Marco Ribas de Farias, Maria de Souza",Portuguese,"4,167,807",Brazil,10 Oct 2003,107 min,4.3,,tt0380531.jpg
Dopamine,"Comedy, Drama, Romance","68142       Bruno Campos
71518      Sabrina Lloyd
158924    William Windom
Name: Actor, dtype: object",['Mark Decena'],"Timothy Breitbach, Mark Decena",English,"22,278",USA,23 Jan 2003,79 min,5.9,1 win & 1 nomination.,tt0342300.jpg
Boys Life 4: Four Play,"Comedy, Drama","101606    Aimee Garcia
Name: Actor, dtype: object","['Phillip J. Bartell', 'Alan Brown', 'Eric Mueller', 'Brian Sloan']","Phillip J. Bartell (segment), Alan Brown (segment), Andrew Peterson (segment), Brian Sloan (segment)",English,"11,845",USA,01 Aug 2003,83 min,6.3,,tt0369295.jpg
Suddenly Paradise,Comedy,"['Leonardo Pieraccioni', 'Angie Cepeda', 'Alessandro Haber', 'Rocco Papaleo']",['Leonardo Pieraccioni'],"Leonardo Pieraccioni (story), Giovanni Veronesi (story)",Italian,"14,640,147",Italy,19 Dec 2003,93 min,5.3,3 nominations.,tt0392591.jpg
Power Trip,Documentary,"['Dennis Bakke', 'Piers Lewis', 'Butch Mederos', ""Bill O'Reilly""]",['Paul Devlin'],,"English, Georgian","38,593","USA, Georgia",02 May 2003,86 min,7.5,4 wins & 1 nomination.,tt0358647.jpg
The Event,Drama,"['Joanna Adler', 'Chris Barry', 'Walter Borden', 'Ray Brimicombe']",['Thom Fitzgerald'],"Thom Fitzgerald, Steven Hillyer, Tim Marback",English,"35,518","Canada, USA",13 Feb 2004,110 min,6.3,9 wins & 4 nominations.,tt0314039.jpg
